Item,expSet,condition,WP1_match,Words
9,WP1,c,10,Autos
25,WP1,c,26,F&uuml;&szlig;e
33,WP1,c,34,B&uuml;cher
1,WP1,c,2,Schuhe
17,WP1,c,18,WC
2,WP1,c,1,Kleidung
34,WP1,c,33,Schorle
18,WP1,c,17,Tier
10,WP1,c,9,Beine
26,WP1,c,25,Residenz
3,WP1,c,4,Wohnung
19,WP1,c,20,Antrag
27,WP1,c,28,Kleider
11,WP1,c,12,Hosen
35,WP1,c,36,Augen
8,WP1,c,7,Gem&uuml;se
24,WP1,c,23,Flasche
32,WP1,c,31,Arznei
16,WP1,c,15,Essen
40,WP1,c,39,Hausschuhe
28,WP1,c,27,Geiger
21,WP1,c,22,Bauch
5,WP1,c,6,Gem&auml;cher
29,WP1,c,30,Zigarre
13,WP1,c,14,Butterbrote
37,WP1,c,38,Finger
22,WP1,c,21,Hund
6,WP1,c,5,Tassen
30,WP1,c,29,Sch&auml;nke
38,WP1,c,37,Getr&aumlnke
14,WP1,c,13,Fingern&auml;gel
7,WP1,c,8,Fahrrad
23,WP1,c,24,Haare
15,WP1,c,16,Geld
31,WP1,c,32,Pistole
39,WP1,c,40,Pension
36,WP1,c,35,Lampe
20,WP1,c,19,Champagner
4,WP1,c,3,Ohren
12,WP1,c,11,Pferde
28,WP1,c,27,Geige
40,WP1,d,39,Schlappen
32,WP1,d,31,Pillen
16,WP1,d,15,Futter
24,WP1,d,23,Pulle
8,WP1,d,7,Gr&uuml;nzeug
5,WP1,d,6,Kammern
21,WP1,d,22,Wanst
37,WP1,d,38,Griffel
13,WP1,d,14,Schnitten
29,WP1,d,30,Kippe
2,WP1,d,1,Klamotten
18,WP1,d,17,Vieh
34,WP1,d,33,Brause
10,WP1,d,9,Stelzen
26,WP1,d,25,Bude
35,WP1,d,36,Glubscher
3,WP1,d,4,Behausung
19,WP1,d,20,Wisch
11,WP1,d,12,Buxen
27,WP1,d,28,Fummel
4,WP1,d,3,Lauscher
36,WP1,d,35,Funzel
20,WP1,d,19,Schampus
28,WP1,d,27,Fiedel
12,WP1,d,11,G&auml;ule
1,WP1,d,2,Latschen
33,WP1,d,34,W&auml;lzer
17,WP1,d,18,Klo
9,WP1,d,10,Karren
25,WP1,d,26,Mauken
38,WP1,d,37,Pl&uuml;rre
22,WP1,d,21,K&ouml;ter
6,WP1,d,5,P&oumltte
30,WP1,d,29,Kneipe
14,WP1,d,13,Klauen
23,WP1,d,24,M&auml;hne
7,WP1,d,8,Stahlross
31,WP1,d,32,Knarre
15,WP1,d,16,Moos
39,WP1,d,40,Absteige
6,WP2,j,x,&uuml;bert&ouml;lpeln
30,WP2,j,x,bem&auml;keln
14,WP2,j,x,checken
2,WP2,j,x,vertrimmen
10,WP2,j,x,schmusen
26,WP2,j,x,belabern
22,WP2,j,x,schmieren
38,WP2,j,x,schnappen
18,WP2,j,x,sponsern
34,WP2,j,x,verhauen
3,WP2,j,x,triezen
27,WP2,j,x,verkohlen
11,WP2,j,x,beschauen
15,WP2,j,x,verpetzen
31,WP2,j,x,ver&auml;ppeln
19,WP2,j,x,beschwafeln
35,WP2,j,x,piesacken
7,WP2,j,x,verschaukeln
23,WP2,j,x,knuffen
39,WP2,j,x,bluffen
32,WP2,j,x,begaffen
16,WP2,j,x,bep&ouml;beln
4,WP2,j,x,kraulen
28,WP2,j,x,beschwindeln
12,WP2,j,x,verp&ouml;nen
40,WP2,j,x,dissen
24,WP2,j,x,bezirzen
8,WP2,j,x,fobben
20,WP2,j,x,h&auml;tscheln
36,WP2,j,x,prellen
29,WP2,j,x,kneifen
5,WP2,j,x,r&uuml;ffeln
13,WP2,j,x,verm&ouml;beln
9,WP2,j,x,begucken
25,WP2,j,x,beglotzen
1,WP2,j,x,verpfeifen
37,WP2,j,x,verteufeln
21,WP2,j,x,wurmen
17,WP2,j,x,fighten
33,WP2,j,x,mobben
32,WP2,h,x,fixieren
16,WP2,h,x,behelligen
28,WP2,h,x,hintergehen
12,WP2,h,x,schm&auml;hen
8,WP2,h,x,narren
40,WP2,h,x,r&uuml;gen
24,WP2,h,x,bet&ouml;ren
36,WP2,h,x,betr&uuml;gen
4,WP2,h,x,kosen
20,WP2,h,x,verw&ouml;hnen
29,WP2,h,x,zwicken
13,WP2,h,x,ma&szlig;regeln
1,WP2,h,x,diffamieren
9,WP2,h,x,ersp&auml;hen
25,WP2,h,x,inspizieren
37,WP2,h,x,verunglimpfen
5,WP2,h,x,tadeln
21,WP2,h,x,reizen
17,WP2,h,x,befehden
33,WP2,h,x,peinigen
10,WP2,h,x,herzen
26,WP2,h,x,bereden
2,WP2,h,x,z&uuml;chtigen
30,WP2,h,x,monieren
14,WP2,h,x,proben
34,WP2,h,x,pr&uuml;geln
18,WP2,h,x,protegieren
22,WP2,h,x,korrumpieren
38,WP2,h,x,internieren
6,WP2,h,x,&uuml;berlisten
15,WP2,h,x,verleumden
31,WP2,h,x,karikieren
27,WP2,h,x,veralbern
11,WP2,h,x,mustern
39,WP2,h,x,bel&uuml;gen
23,WP2,h,x,stupsen
7,WP2,h,x,&uuml;bervorteilen
35,WP2,h,x,martern
3,WP2,h,x,knechten
19,WP2,h,x,indoktrinieren
38,WP2,h,x,internieren
